TEAM,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,2PM,2PA,2P%,SC-EFF,SH-EFF,PLAYERS
Miami Heat ,5.0,10.0,49.4,1.0,2.9,33.1,2.0,2.5,81.9,4.0,7.1,56.0,1.284,0.54,Jaime Jaquez Jr.
Miami Heat ,4.6,12.8,35.9,1.1,4.7,23.4,2.3,2.4,95.8,3.5,8.1,43.2,0.984,0.40,Terry Rozier SG
Miami Heat ,4.0,8.7,45.5,1.2,3.2,36.8,1.2,1.6,75.4,2.8,5.6,50.5,1.182,0.52,Caleb Martin
Miami Heat ,3.6,8.1,44.4,1.5,4.4,34.7,1.2,1.3,94.4,2.0,3.7,56.1,1.225,0.54,Josh Richardson
Miami Heat ,2.8,6.5,43.1,1.5,4.5,33.5,1.8,2.2,78.7,1.3,2.0,65.1,1.365,0.55,Kevin Love
Miami Heat ,2.8,6.5,42.6,1.7,4.4,38.5,0.9,1.1,83.3,1.1,2.2,50.6,1.252,0.55,Kyle Lowry
Miami Heat ,2.1,4.7,43.9,0.6,1.8,32.0,1.0,1.4,73.7,1.5,2.9,51.2,1.212,0.50,Jamal Cain
Miami Heat ,2.1,4.9,42.7,1.1,2.8,37.0,0.5,0.6,79.2,1.0,2.0,50.6,1.173,0.54,Haywood Highsmith
Miami Heat ,1.9,4.6,40.2,1.0,2.3,42.2,0.6,1.0,55.0,0.9,2.4,38.3,1.130,0.51,Nikola Jovic
Miami Heat ,1.7,3.7,45.5,0.8,1.9,41.2,0.2,0.2,100.0,0.9,1.8,50.0,1.182,0.56,Dru Smith
Miami Heat ,1.8,3.1,57.1,0.0,0.2,0.0,0.7,0.9,81.8,1.8,2.9,60.3,1.377,0.57,Thomas Bryant
Miami Heat ,1.3,2.7,50.8,0.3,0.6,53.8,0.8,1.0,75.0,1.0,2.1,50.0,1.426,0.57,Orlando Robinson
Miami Heat ,1.0,2.3,42.9,0.6,1.7,33.3,0.0,0.0,0.0,0.4,0.7,66.7,1.095,0.55,Cole Swider
Miami Heat ,0.5,1.8,28.6,0.1,1.0,12.5,0.1,0.3,50.0,0.4,0.8,50.0,0.714,0.32,R.J. Hampton
Milwaukee Bucks ,11.5,18.9,60.9,0.5,1.8,25.0,7.3,11.1,65.7,11.0,17.1,64.6,1.628,0.62,Giannis Antetokounmpo
Milwaukee Bucks ,7.4,17.4,42.7,2.9,8.5,34.5,7.1,7.8,92.2,4.5,8.9,50.5,1.431,0.51,Damian Lillard
Milwaukee Bucks ,5.6,11.6,48.7,1.7,4.5,37.8,1.8,2.2,83.2,3.9,7.1,55.6,1.280,0.56,Khris Middleton
Milwaukee Bucks ,5.0,10.1,49.2,1.8,5.1,34.8,1.5,1.8,83.1,3.2,5.1,63.6,1.304,0.58,Brook Lopez
Milwaukee Bucks ,5.0,10.2,49.4,1.2,3.0,38.1,1.3,1.7,78.7,3.9,7.2,54.1,1.229,0.55,Bobby Portis
Milwaukee Bucks ,4.1,8.8,46.9,2.9,6.4,44.6,0.3,0.5,64.0,1.3,2.4,52.9,1.299,0.63,Malik Beasley
Milwaukee Bucks ,2.6,6.0,43.9,1.5,4.0,38.6,0.7,1.1,66.7,1.1,2.0,54.5,1.258,0.57,Jae Crowder
Milwaukee Bucks ,2.1,4.7,45.5,1.1,2.8,39.7,0.8,0.9,84.1,1.0,1.9,53.8,1.311,0.57,Cameron Payne PG
Milwaukee Bucks ,2.0,5.0,40.0,2.0,3.0,66.7,0.0,0.0,0.0,0.0,2.0,0.0,1.200,0.60,Patrick Beverley PG
Milwaukee Bucks ,1.9,4.2,45.7,1.1,3.0,38.6,0.4,0.6,69.0,0.8,1.2,63.2,1.289,0.59,Pat Connaughton
Milwaukee Bucks ,1.8,3.8,47.6,0.7,1.7,38.5,0.4,0.6,66.7,1.1,2.1,55.1,1.238,0.56,MarJon Beauchamp
Milwaukee Bucks ,1.4,3.2,43.8,1.2,2.8,41.8,0.2,0.2,100.0,0.2,0.4,57.1,1.305,0.62,AJ Green
Milwaukee Bucks ,1.0,2.0,53.0,0.3,0.9,36.8,0.2,0.3,72.7,0.7,1.1,66.7,1.325,0.61,Andre Jackson Jr.
Milwaukee Bucks ,0.7,1.7,40.0,0.0,0.7,0.0,0.7,0.7,100.0,0.7,1.0,66.7,1.200,0.40,Lindell Wigginton
Milwaukee Bucks ,0.5,1.0,50.0,0.1,0.1,100.0,0.1,0.1,100.0,0.4,0.9,46.2,1.214,0.54,Chris Livingston
Milwaukee Bucks ,0.4,1.2,36.8,0.1,0.5,25.0,0.1,0.1,100.0,0.3,0.7,45.5,0.947,0.42,Robin Lopez
Milwaukee Bucks ,0.3,1.7,20.0,0.3,1.0,33.3,0.0,0.0,0.0,0.0,0.7,0.0,0.600,0.30,TyTy Washington Jr.
Milwaukee Bucks ,0.5,0.9,52.6,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.9,55.6,1.053,0.53,Thanasis Antetokounmpo
Milwaukee Bucks ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00,Marques Bolden
Minnesota Timberwolves ,8.9,19.2,46.5,2.6,6.6,39.3,5.4,6.5,83.4,6.3,12.6,50.3,1.349,0.53,Anthony Edwards
Minnesota Timberwolves ,8.1,15.7,51.6,2.3,5.2,44.2,4.1,4.7,87.1,5.8,10.5,55.2,1.441,0.59,Karl-Anthony Towns
Minnesota Timberwolves ,5.2,7.9,64.9,0.0,0.0,0.0,3.4,5.3,63.9,5.2,7.9,65.3,1.723,0.65,Rudy Gobert
Minnesota Timberwolves ,4.7,9.5,48.8,1.9,4.7,41.4,1.1,1.4,76.0,2.7,4.8,56.0,1.294,0.59,Naz Reid
Minnesota Timberwolves ,4.4,8.7,51.1,1.3,3.4,37.1,0.6,0.8,77.1,3.2,5.3,60.2,1.242,0.58,Jaden McDaniels
Minnesota Timberwolves ,3.6,8.1,44.6,2.4,5.3,44.8,1.1,1.3,91.5,1.3,2.8,44.4,1.325,0.59,Mike Conley
Minnesota Timberwolves ,2.4,5.8,41.7,1.4,3.8,36.0,0.5,0.7,75.7,1.0,2.0,52.9,1.166,0.54,Nickeil Alexander-Walker
Minnesota Timberwolves ,2.4,5.1,47.2,0.1,0.6,19.4,1.2,1.8,68.1,2.3,4.5,50.9,1.208,0.48,Kyle Anderson
Minnesota Timberwolves ,1.7,4.2,40.0,0.4,1.4,26.4,0.9,1.2,81.8,1.3,2.8,46.7,1.113,0.44,Shake Milton SG
Minnesota Timberwolves ,1.4,3.2,44.1,0.8,2.3,36.9,0.5,0.6,86.4,0.6,0.9,61.8,1.305,0.57,Troy Brown Jr. SF
Minnesota Timberwolves ,1.0,2.5,40.5,0.6,1.4,40.5,0.1,0.3,50.0,0.4,1.1,40.6,1.095,0.52,Jordan McLaughlin
Minnesota Timberwolves ,1.2,1.7,70.0,0.2,0.5,33.3,0.0,0.0,0.0,1.0,1.2,85.7,1.500,0.75,Leonard Miller
Minnesota Timberwolves ,0.8,1.9,43.5,0.2,0.6,28.6,0.5,0.8,60.0,0.7,1.3,50.0,1.217,0.48,Luka Garza
Minnesota Timberwolves ,0.6,1.3,47.6,0.1,0.4,16.7,0.6,0.8,83.3,0.6,0.9,60.0,1.476,0.50,Josh Minott
Minnesota Timberwolves ,0.6,1.6,36.4,0.4,1.1,37.5,0.0,0.3,0.0,0.1,0.4,33.3,1.000,0.50,Daishen Nix
Minnesota Timberwolves ,0.4,0.7,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.4,0.4,83.3,1.000,0.50,Wendell Moore Jr.
New Orleans Pelicans ,8.8,14.9,58.7,0.1,0.3,36.4,4.7,6.9,68.1,8.7,14.7,59.1,1.493,0.59,Zion Williamson
New Orleans Pelicans ,8.1,16.5,49.1,1.4,3.9,35.8,4.0,5.0,80.1,6.7,12.6,53.2,1.309,0.53,Brandon Ingram
New Orleans Pelicans ,6.9,14.8,46.4,3.4,8.0,42.5,1.9,2.4,78.7,3.5,6.8,51.1,1.288,0.58,CJ McCollum
New Orleans Pelicans ,5.5,9.6,57.3,0.6,1.6,34.5,2.4,2.9,80.1,4.9,8.0,61.9,1.449,0.60,Jonas Valanciunas
New Orleans Pelicans ,4.4,9.9,44.0,2.5,6.9,36.6,1.6,2.0,78.6,1.8,3.0,61.4,1.296,0.57,Trey Murphy III
New Orleans Pelicans ,3.9,7.9,49.9,1.4,3.5,40.8,1.7,2.0,85.1,2.5,4.4,57.1,1.391,0.59,Herbert Jones
New Orleans Pelicans ,3.2,7.9,40.1,2.0,5.1,38.1,1.3,1.5,84.7,1.2,2.8,43.9,1.211,0.53,Jordan Hawkins
New Orleans Pelicans ,2.7,6.1,44.7,2.3,4.9,47.1,0.9,1.0,92.9,0.4,1.2,35.3,1.424,0.64,Matt Ryan
New Orleans Pelicans ,2.6,5.7,45.0,0.8,2.2,37.6,1.5,1.8,79.2,1.7,3.5,49.7,1.300,0.52,Naji Marshall
New Orleans Pelicans ,2.5,5.9,41.7,1.3,3.4,36.7,0.7,1.0,65.7,1.2,2.5,48.8,1.160,0.52,Jose Alvarado
New Orleans Pelicans ,2.2,4.9,43.8,0.6,2.1,29.1,0.6,1.0,64.0,1.5,2.8,54.8,1.125,0.50,Dyson Daniels
New Orleans Pelicans ,2.1,3.7,56.5,0.5,1.1,45.0,0.7,0.9,75.0,1.6,2.6,61.5,1.450,0.63,Larry Nance Jr.
New Orleans Pelicans ,1.4,2.8,51.7,0.4,1.0,36.4,0.5,0.5,90.9,1.0,1.7,61.1,1.345,0.59,Jeremiah Robinson-Earl
New Orleans Pelicans ,1.1,3.5,30.8,0.1,1.3,10.0,0.7,0.7,90.9,0.9,2.1,43.8,0.846,0.33,Kira Lewis Jr. PG
New Orleans Pelicans ,0.8,2.6,30.8,0.2,0.4,50.0,1.0,1.2,83.3,0.6,2.2,27.3,1.077,0.35,Dereon Seabron
New Orleans Pelicans ,0.6,1.5,39.6,0.0,0.1,33.3,0.6,1.0,60.0,0.6,1.4,40.0,1.208,0.41,Cody Zeller
New Orleans Pelicans ,0.1,0.8,16.7,0.0,0.6,0.0,0.3,0.3,100.0,0.1,0.1,100.0,0.667,0.17,E.J. Liddell
New Orleans Pelicans ,0.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.000,0.00,Kaiser Gates
New York Knicks ,9.8,20.3,48.4,2.6,6.5,40.7,5.2,6.2,84.0,7.2,13.8,52.0,1.356,0.55,Jalen Brunson
New York Knicks ,8.6,18.2,47.2,1.7,5.3,31.1,5.1,6.6,78.1,6.9,12.9,53.9,1.318,0.52,Julius Randle
New York Knicks ,7.0,14.0,50.0,4.0,7.0,57.1,4.0,4.0,100.0,3.0,7.0,42.9,1.571,0.64,Alec Burks SG
New York Knicks ,6.3,14.9,42.3,1.7,5.0,33.1,4.0,4.8,83.1,4.7,9.9,46.9,1.222,0.48,RJ Barrett SG
New York Knicks ,5.8,11.2,51.6,1.8,4.6,39.1,2.3,2.7,84.2,4.0,6.6,60.2,1.395,0.60,OG Anunoby SF
New York Knicks ,5.1,11.2,45.4,2.1,5.4,39.5,2.7,3.1,87.2,2.9,5.8,50.9,1.343,0.55,Immanuel Quickley SG
New York Knicks ,4.8,10.4,45.9,3.0,7.2,41.7,1.0,1.3,72.9,1.8,3.2,55.4,1.301,0.60,Donte DiVincenzo
New York Knicks ,3.0,10.0,30.0,2.0,6.0,33.3,3.0,4.0,75.0,1.0,4.0,25.0,1.100,0.40,Bojan Bogdanovic SF
New York Knicks ,3.0,7.0,42.1,0.9,2.9,30.5,0.9,1.1,83.9,2.1,4.1,50.2,1.096,0.48,Josh Hart
New York Knicks ,2.5,6.4,39.5,1.7,4.7,36.3,0.5,0.8,70.6,0.8,1.6,48.6,1.143,0.53,Quentin Grimes
New York Knicks ,3.2,6.1,53.1,0.2,1.0,23.8,0.5,0.7,78.6,3.0,5.1,58.9,1.188,0.55,Precious Achiuwa PF
New York Knicks ,2.9,4.6,61.9,0.0,0.1,33.3,1.4,2.0,70.7,2.8,4.6,62.3,1.545,0.62,Isaiah Hartenstein
New York Knicks ,2.8,4.7,59.2,0.0,0.0,0.0,0.7,1.8,36.8,2.8,4.7,59.2,1.327,0.59,Mitchell Robinson
New York Knicks ,2.2,4.9,44.1,1.2,2.8,41.1,0.5,0.6,81.8,1.0,2.1,48.2,1.210,0.56,Miles McBride
New York Knicks ,1.3,6.7,20.0,0.7,5.0,13.3,0.7,0.7,100.0,0.7,1.7,40.0,0.600,0.25,Evan Fournier
New York Knicks ,0.6,1.6,39.1,0.3,0.9,30.8,0.6,0.8,81.8,0.4,0.7,50.0,1.348,0.48,Malachi Flynn PG
New York Knicks ,0.8,1.0,74.1,0.0,0.0,0.0,0.2,0.3,57.1,0.8,1.0,74.1,1.630,0.74,Jericho Sims
New York Knicks ,0.4,1.8,22.2,0.4,1.2,33.3,0.0,0.0,0.0,0.0,0.6,0.0,0.667,0.33,Charlie Brown Jr.
New York Knicks ,0.5,1.6,31.8,0.0,0.4,0.0,0.1,0.1,100.0,0.5,1.1,43.8,0.727,0.32,Taj Gibson
New York Knicks ,0.5,1.2,41.7,0.1,0.5,20.0,0.0,0.2,0.0,0.4,0.7,57.1,0.917,0.46,DaQuan Jeffries
New York Knicks ,0.3,0.7,50.0,0.3,0.7,50.0,0.0,0.0,0.0,0.0,0.0,0.0,1.500,0.75,Dylan Windler G
New York Knicks ,0.3,0.5,50.0,0.0,0.3,0.0,0.0,0.0,0.0,0.3,0.3,100.0,1.000,0.50,Jacob Toppin
New York Knicks ,0.0,0.3,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00,Ryan Arcidiacono
New York Knicks ,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.000,0.00,Dmytro Skapintsev
Oklahoma City Thunder ,10.9,20.0,54.8,1.2,3.3,36.8,8.0,9.0,88.3,9.7,16.6,58.4,1.556,0.58,Shai Gilgeous-Alexander
Oklahoma City Thunder ,7.4,13.7,54.0,1.5,3.3,45.1,2.6,3.2,80.9,5.9,10.4,56.8,1.379,0.59,Jalen Williams
Oklahoma City Thunder ,6.3,11.8,53.6,1.7,4.3,39.4,2.4,3.2,76.8,4.7,7.6,61.6,1.419,0.61,Chet Holmgren
Oklahoma City Thunder ,4.6,10.4,44.5,1.0,3.0,33.1,1.2,1.5,83.1,3.7,7.5,49.0,1.101,0.49,Josh Giddey
Oklahoma City Thunder ,3.6,8.2,43.7,1.9,4.8,38.9,1.6,2.0,81.4,1.7,3.4,50.6,1.301,0.55,Luguentz Dort
Oklahoma City Thunder ,2.9,6.3,46.1,2.0,4.7,42.8,0.7,0.8,84.2,0.9,1.6,55.7,1.344,0.62,Isaiah Joe
Oklahoma City Thunder ,2.6,5.2,50.2,1.2,2.8,40.9,0.4,0.5,84.6,1.5,2.4,61.1,1.305,0.61,Cason Wallace
Oklahoma City Thunder ,2.4,4.1,58.5,0.8,1.5,51.9,0.5,0.7,75.0,1.6,2.6,62.3,1.493,0.68,Aaron Wiggins
Oklahoma City Thunder ,1.8,3.9,46.0,0.8,2.0,40.0,0.1,0.2,30.0,1.0,1.9,52.6,1.147,0.56,Kenrich Williams
Oklahoma City Thunder ,1.5,3.5,43.4,0.7,2.2,32.3,0.4,0.5,85.7,0.8,1.3,62.2,1.192,0.54,Ousmane Dieng
Oklahoma City Thunder ,1.5,3.1,50.0,0.6,1.5,42.1,0.1,0.1,100.0,0.9,1.6,57.1,1.225,0.60,Tre Mann PG
Oklahoma City Thunder ,1.2,3.2,37.7,0.7,2.0,33.7,0.5,0.6,84.0,0.5,1.2,44.4,1.110,0.48,Jaylin Williams
Oklahoma City Thunder ,1.2,3.0,40.7,0.4,1.5,24.4,0.5,0.6,73.7,0.9,1.5,56.5,1.088,0.47,Vasilije Micic G
Oklahoma City Thunder ,1.0,2.4,44.2,1.0,2.2,43.8,0.0,0.0,0.0,0.1,0.2,50.0,1.288,0.64,Lindy Waters III
Oklahoma City Thunder ,0.7,1.7,38.5,0.7,1.6,41.7,0.9,1.0,93.3,0.0,0.1,0.0,1.692,0.58,Davis Bertans SF
Oklahoma City Thunder ,0.8,1.5,55.6,0.2,0.5,33.3,0.8,1.1,69.2,0.7,1.0,66.7,1.722,0.61,Olivier Sarr
Oklahoma City Thunder ,0.6,1.7,33.3,0.1,0.3,50.0,0.0,0.0,0.0,0.4,1.4,30.0,0.750,0.38,Keyontae Johnson
Oklahoma City Thunder ,0.4,1.6,25.0,0.2,1.1,18.2,0.2,0.4,50.0,0.2,0.5,40.0,0.750,0.31,Aleksej Pokusevski
Orlando Magic ,8.1,17.8,45.3,1.5,4.2,35.9,5.2,7.4,70.0,6.6,13.6,48.2,1.280,0.50,Paolo Banchero
Orlando Magic ,7.9,16.4,47.9,1.7,5.2,32.2,3.8,4.5,85.1,6.2,11.2,55.1,1.292,0.53,Franz Wagner
Orlando Magic ,4.4,9.8,44.7,2.0,5.2,38.7,1.5,2.0,76.0,2.3,4.6,51.6,1.253,0.55,Jalen Suggs
Orlando Magic ,4.1,9.4,43.2,1.1,3.3,32.6,2.8,3.3,83.8,3.0,6.1,48.9,1.273,0.49,Cole Anthony
Orlando Magic ,4.2,7.2,58.5,0.5,1.5,32.9,2.2,2.7,79.3,3.7,5.7,65.5,1.542,0.62,Moritz Wagner
Orlando Magic ,4.0,7.7,52.2,1.2,2.9,41.6,1.9,2.7,72.2,2.8,4.8,58.5,1.449,0.60,Wendell Carter Jr.
Orlando Magic ,4.1,8.2,49.4,0.1,0.4,14.3,0.5,0.8,56.3,4.0,7.9,51.0,1.049,0.50,Markelle Fultz
Orlando Magic ,2.4,5.6,42.8,1.2,3.8,32.2,0.8,1.0,78.1,1.2,1.8,64.4,1.211,0.54,Gary Harris
Orlando Magic ,2.5,4.1,61.9,0.0,0.2,20.0,1.1,1.6,66.2,2.5,3.9,64.3,1.508,0.62,Goga Bitadze
Orlando Magic ,2.2,4.7,47.6,0.5,1.7,29.5,1.2,1.6,75.0,1.7,2.9,58.3,1.317,0.53,Jonathan Isaac
Orlando Magic ,1.8,3.7,49.4,0.5,1.3,38.1,0.8,1.3,65.6,1.3,2.4,55.8,1.352,0.56,Anthony Black
Orlando Magic ,1.5,4.0,38.4,1.3,3.7,36.2,0.4,0.6,77.3,0.2,0.3,70.0,1.219,0.55,Caleb Houstan
Orlando Magic ,1.6,4.0,41.0,1.1,2.7,40.2,0.4,0.5,85.0,0.5,1.3,42.9,1.205,0.55,Joe Ingles
Orlando Magic ,1.2,3.0,38.9,0.3,1.3,18.8,0.8,1.0,75.0,0.9,1.7,55.0,1.111,0.43,Trevelin Queen
Orlando Magic ,1.2,3.2,37.8,0.7,2.3,31.0,0.1,0.2,40.0,0.5,0.9,55.6,1.000,0.49,Chuma Okeke
Orlando Magic ,0.6,1.7,36.8,0.4,1.3,28.6,0.2,0.4,50.0,0.3,0.5,60.0,1.053,0.47,Jett Howard
Orlando Magic ,0.4,1.3,33.3,0.2,0.8,22.2,0.0,0.2,0.0,0.3,0.5,50.0,0.800,0.40,Admiral Schofield
Orlando Magic ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.000,0.00,Kevon Harris
Philadelphia 76ers ,11.8,22.2,53.3,1.2,3.3,36.6,10.5,11.9,88.3,10.6,18.9,56.2,1.593,0.56,Joel Embiid
Philadelphia 76ers ,8.9,19.8,44.8,3.1,8.1,38.0,4.9,5.7,85.7,5.8,11.7,49.5,1.296,0.53,Tyrese Maxey
Philadelphia 76ers ,8.5,18.5,45.9,4.0,10.5,38.1,0.5,1.0,50.0,4.5,8.0,56.3,1.162,0.57,Buddy Hield SG
Philadelphia 76ers ,6.8,13.3,50.7,1.2,3.4,34.6,3.1,3.4,89.6,5.6,9.9,56.2,1.332,0.55,Tobias Harris
Philadelphia 76ers ,5.2,11.3,45.6,1.5,4.6,32.1,2.2,2.9,73.5,3.7,6.7,54.9,1.232,0.52,Kelly Oubre Jr.
Philadelphia 76ers ,5.0,12.0,41.7,2.0,6.0,33.3,1.0,1.5,66.7,3.0,6.0,50.0,1.083,0.50,Cameron Payne PG
Philadelphia 76ers ,3.9,9.9,39.3,2.1,5.8,36.3,1.9,2.3,82.7,1.8,4.1,43.7,1.189,0.50,De'Anthony Melton
Philadelphia 76ers ,2.4,5.5,43.9,1.0,2.4,40.0,0.8,1.0,86.1,1.5,3.1,47.0,1.205,0.53,Marcus Morris Sr.
Philadelphia 76ers ,2.2,5.1,43.2,0.7,2.3,32.1,1.1,1.3,81.0,1.5,2.8,52.3,1.220,0.50,Patrick Beverley PG
Philadelphia 76ers ,2.8,5.1,54.2,0.2,0.6,32.3,0.6,0.8,70.7,2.6,4.5,57.1,1.231,0.56,Paul Reed
Philadelphia 76ers ,1.8,3.5,52.4,0.3,0.7,37.5,2.3,2.9,77.1,1.6,2.8,55.9,1.762,0.56,Ricky Council IV
Philadelphia 76ers ,2.2,4.1,52.8,1.4,2.9,46.7,0.3,0.5,64.3,0.8,1.2,67.6,1.457,0.69,Nicolas Batum PF
Philadelphia 76ers ,1.8,4.1,43.2,1.3,3.1,42.9,0.2,0.3,66.7,0.4,1.0,44.4,1.243,0.59,Terquavion Smith
Philadelphia 76ers ,1.5,3.4,44.9,0.7,1.8,35.4,0.8,0.9,87.5,0.9,1.6,56.1,1.326,0.54,Robert Covington PF
Philadelphia 76ers ,1.4,3.1,44.8,0.4,1.5,30.0,1.0,1.4,76.1,0.9,1.6,58.2,1.371,0.52,Danuel House Jr.
Philadelphia 76ers ,1.6,3.2,50.0,0.4,0.8,44.0,0.5,0.8,64.0,1.2,2.4,52.1,1.281,0.56,Mo Bamba
Philadelphia 76ers ,1.4,3.7,39.0,0.3,1.2,21.6,0.9,1.1,82.4,1.2,2.5,46.9,1.085,0.42,Jaden Springer
